# t (s)	mx ()	my ()	mz ()	Ku1 (J/m3)	mx ()	my ()	mz ()	maxTorque (T)
0	3.3951255e-07	-2.5163172e-07	0.9999247	560526.3	3.3951255e-07	-2.513989e-07	0.9999247	1.7012504e-06
0	2.6138878e-08	-1.9499566e-08	0.99995	560526.3	2.6138878e-08	-1.9266736e-08	0.99995	6.5310516e-08
0	2.9922376e-09	-2.240995e-09	0.9999626	560526.3	2.9922376e-09	-2.2118911e-09	0.9999626	1.1039527e-06
0	9.640644e-10	-4.656613e-10	0.9999702	560526.3	9.640644e-10	-4.656613e-10	0.9999702	6.436221e-08
0	5.620677e-10	-2.3283064e-10	0.9999754	560526.3	5.620677e-10	-2.3283064e-10	0.99997544	3.082926e-07
0	3.9108272e-10	-1.1641532e-10	0.9999791	560526.3	3.9108272e-10	-1.1641532e-10	0.9999791	1.2328736e-07
0	2.0372681e-10	-2.6193447e-10	0.9999819	560526.3	2.0372681e-10	-2.6193447e-10	0.9999819	2.903517e-07
0	2.6375346e-10	-1.1641532e-10	0.9999839	560526.3	2.6375346e-10	-1.1641532e-10	0.9999839	7.448255e-07
0	1.5887053e-08	-9.546056e-09	0.9998783	572631.56	1.5887053e-08	-9.546056e-09	0.9998783	5.538581e-07
0	6.73208e-09	-5.47152e-09	0.9999318	572631.56	6.73208e-09	-5.47152e-09	0.9999318	9.674923e-07
0	2.3319444e-09	-1.4551915e-09	0.9999533	572631.56	2.3319444e-09	-1.5133992e-09	0.9999533	4.9746413e-06
0	1.207809e-09	-8.440111e-10	0.9999646	572631.56	1.207809e-09	-7.2759576e-10	0.9999646	1.1926654e-06
0	8.8766683e-10	-1.4551915e-10	0.9999715	572631.56	8.8766683e-10	-8.731149e-11	0.9999715	1.5890859e-06
0	5.12955e-10	-5.820766e-10	0.99997634	572631.56	5.12955e-10	-5.820766e-10	0.99997634	6.6574773e-07
0	4.2382453e-10	-1.1641532e-10	0.99997973	572631.56	4.2382453e-10	-1.1641532e-10	0.9999796	1.4800138e-06
0	2.3646862e-10	-2.0372681e-10	0.99998224	572631.56	2.3646862e-10	-1.7462298e-10	0.99998224	6.409082e-06
0	2.0372681e-10	-2.910383e-11	0.9999843	572631.56	2.0372681e-10	-2.910383e-11	0.9999844	1.2429173e-05
0	1.8189894e-10	0	0.99998593	572631.56	1.8189894e-10	5.820766e-11	0.99998593	4.677153e-07
0	2.9722287e-09	-1.7462298e-09	0.99993783	584736.8	2.9722287e-09	-1.7462298e-09	0.99993783	3.658956e-07
0	1.8153514e-09	-1.3969839e-09	0.99995625	584736.8	1.8153514e-09	-1.3969839e-09	0.9999562	1.2096437e-07
0	1.0913936e-09	-7.2759576e-10	0.9999663	584736.8	1.0913936e-09	-7.2759576e-10	0.99996626	1.0461985e-06
0	7.7852746e-10	-7.566996e-10	0.9999727	584736.8	7.7852746e-10	-6.9849193e-10	0.9999727	1.0861323e-06
0	4.110916e-10	-4.656613e-10	0.99997705	584736.8	4.110916e-10	-4.656613e-10	0.99997705	4.3808433e-07
0	3.274181e-10	-2.910383e-10	0.9999802	584736.8	3.274181e-10	-2.910383e-10	0.9999802	1.06304114e-07
0	2.237357e-10	-1.7462298e-10	0.9999828	584736.8	2.237357e-10	-2.910383e-10	0.9999828	9.0213837e-07
0	1.555236e-10	-1.4551915e-10	0.9999846	584736.8	1.555236e-10	-1.4551915e-10	0.9999847	1.0046454e-07
0	1.537046e-10	-1.4551915e-10	0.9999863	584736.8	1.537046e-10	-8.731149e-11	0.9999863	1.5336114e-07
0	3.274181e-11	-1.4551915e-10	0.99998754	584736.8	3.274181e-11	-2.0372681e-10	0.9999876	3.5201907e-08
0	1.5133992e-09	-9.313226e-10	0.9999589	596842.06	1.5133992e-09	-1.0477379e-09	0.9999589	7.1730386e-07
0	8.039933e-10	-5.2386895e-10	0.9999678	596842.06	8.039933e-10	-5.2386895e-10	0.9999678	1.7003255e-06
0	6.657501e-10	-2.6193447e-10	0.9999738	596842.06	6.657501e-10	-3.783498e-10	0.9999738	8.0235486e-07
