# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	Ku1 (J/m3)
0	-1.5625119e-09	1.1059456e-09	-0.99996215	0	0	0.18	730000
0	-1.5243131e-09	1.1641532e-09	-0.9999565	0	0	0.19	730000
0	-2.4901965e-09	1.4551915e-09	-0.999949	0	0	0.20000002	730000
0	-3.5288394e-09	3.259629e-09	-0.99993855	0	0	0.21000001	730000
0	-6.6465873e-09	3.8417056e-09	-0.99992263	0	0	0.22000001	730000
0	-1.575063e-08	1.839362e-08	-0.99989676	0	0	0.23	730000
0	-8.856114e-08	8.032657e-08	-0.99984837	0	0	0.24	730000
0	-4.9989703e-06	4.4621993e-06	-0.9997358	0	0	0.25	730000
0	-0.00039892533	0.00035589305	-0.9993681	0	0	0.26	730000
0	-0.00253001	0.0022571106	-0.99862635	0	0	0.27	730000
0	-4.323738e-09	4.096364e-09	0.99999535	0	0	0.28	730000
0	4.638423e-11	-6.548362e-11	0.9999954	0	0	0.29	730000
0	3.1832315e-11	-2.5465852e-11	0.9999955	0	0	0.29999998	730000
0	5.5479177e-11	1.0913936e-11	0.9999955	0	0	0.30999997	730000
0	3.5470293e-11	1.8189894e-11	0.9999958	0	0	0.31999996	730000
0	3.45608e-11	-7.275958e-12	0.9999958	0	0	0.33	730000
0	1.546141e-11	1.4551915e-11	0.9999958	0	0	0.33999997	730000
0	1.1823431e-11	-4.0017767e-11	0.999996	0	0	0.34999996	730000
0	3.7289283e-11	3.274181e-11	0.99999607	0	0	0.36	730000
0	2.5465852e-11	-6.548362e-11	0.9999962	0	0	0.37	730000
0	2.5465852e-11	-7.275958e-12	0.9999962	0	0	0.38	730000
0	2.910383e-11	3.637979e-12	0.9999963	0	0	0.39	730000
0	4.5474735e-11	2.5465852e-11	0.99999636	0	0	0.40000004	730000
0	3.1832315e-11	-3.45608e-11	0.99999636	0	0	0.41000003	730000
0	5.1841198e-11	3.637979e-12	0.9999965	0	0	0.42000002	730000
0	3.6379788e-11	-3.637979e-12	0.99999654	0	0	0.43000004	730000
0	1.546141e-11	-4.1836756e-11	0.99999654	0	0	0.44000003	730000
0	1.546141e-11	1.1823431e-11	0.99999666	0	0	0.45000002	730000
0	2.0918378e-11	1.9099389e-11	0.99999666	0	0	0.46	730000
0	2.0918378e-11	-3.637979e-12	0.99999684	0	0	0.47	730000
0	2.0008883e-11	-9.094947e-13	0.99999684	0	0	0.48	730000
0	1.8189894e-11	-5.4569682e-11	0.99999696	0	0	0.49	730000
0	3.0013325e-11	-5.456968e-12	0.99999696	0	0	0.5	730000
0	2.6375346e-11	-4.5474735e-11	0.9999969	0	0	0.49	730000
0	2.1827873e-11	2.728484e-12	0.99999684	0	0	0.48	730000
0	1.2732926e-11	-7.275958e-12	0.99999684	0	0	0.47	730000
0	3.7289283e-11	1.0913936e-11	0.99999666	0	0	0.46	730000
0	2.5465852e-11	-2.910383e-11	0.99999666	0	0	0.45000002	730000
0	1.4551915e-11	-3.637979e-12	0.9999965	0	0	0.44000003	730000
0	3.45608e-11	5.456968e-12	0.99999654	0	0	0.43000004	730000
0	3.8198777e-11	-5.456968e-12	0.9999965	0	0	0.42000002	730000
0	9.094947e-12	-5.820766e-11	0.99999636	0	0	0.41000003	730000
0	3.3651304e-11	2.1827873e-11	0.99999636	0	0	0.40000004	730000
0	3.3651304e-11	1.0913936e-11	0.9999963	0	0	0.39	730000
0	2.1827873e-11	1.4551915e-11	0.9999962	0	0	0.38	730000
0	2.5465852e-11	-1.0913936e-11	0.9999962	0	0	0.37	730000
0	2.7284841e-11	5.456968e-12	0.99999607	0	0	0.36	730000
0	1.0913936e-11	3.6379788e-11	0.999996	0	0	0.34999996	730000
0	1.0004442e-11	3.637979e-12	0.9999958	0	0	0.33999997	730000
0	2.7284841e-11	-1.8189894e-11	0.9999958	0	0	0.33	730000
0	1.72804e-11	-1.8189894e-11	0.9999958	0	0	0.31999996	730000
0	3.5470293e-11	-7.275958e-12	0.9999956	0	0	0.30999997	730000
0	2.0008883e-11	-7.275958e-12	0.9999955	0	0	0.29999998	730000
0	4.5474735e-11	-1.0913936e-11	0.9999954	0	0	0.29	730000
0	2.2737368e-11	-2.3646862e-11	0.99999535	0	0	0.28	730000
0	4.274625e-11	9.094947e-12	0.9999952	0	0	0.27	730000
0	2.4556357e-11	3.6379788e-11	0.9999952	0	0	0.26	730000
0	4.1836756e-11	7.275958e-12	0.999995	0	0	0.25	730000
0	3.092282e-11	5.820766e-11	0.9999949	0	0	0.24	730000
0	2.0918378e-11	-1.8189894e-11	0.99999475	0	0	0.23	730000
0	2.8194336e-11	-7.275958e-12	0.9999946	0	0	0.22000001	730000
0	5.3660187e-11	0	0.99999446	0	0	0.21000001	730000
0	4.274625e-11	-4.3655746e-11	0.9999944	0	0	0.20000002	730000
0	4.0017767e-11	-7.275958e-12	0.9999942	0	0	0.19	730000
0	5.2750693e-11	4.7293724e-11	0.99999404	0	0	0.18	730000
0	5.1841198e-11	2.910383e-11	0.9999939	0	0	0.16999999	730000
0	3.092282e-11	-8.731149e-11	0.99999374	0	0	0.15999998	730000
0	4.3655746e-11	-3.274181e-11	0.9999935	0	0	0.14999999	730000
0	2.7284841e-11	-3.274181e-11	0.9999934	0	0	0.14	730000
0	5.7298166e-11	9.822543e-11	0.99999297	0	0	0.13	730000
0	8.54925e-11	2.910383e-11	0.99999285	0	0	0.12	730000
0	5.1841198e-11	-9.458745e-11	0.9999926	0	0	0.11000001	730000
0	6.639311e-11	0	0.9999925	0	0	0.10000001	730000
0	8.0035534e-11	9.458745e-11	0.99999225	0	0	0.09	730000
0	7.912604e-11	0	0.99999195	0	0	0.07999999	730000
0	1.027729e-10	7.275958e-12	0.99999166	0	0	0.07	730000
0	1.09139364e-10	3.6379788e-11	0.9999914	0	0	0.06	730000
0	7.4578566e-11	3.6379788e-11	0.99999106	0	0	0.050000004	730000
0	9.731593e-11	1.4551915e-11	0.9999908	0	0	0.039999995	730000
0	1.027729e-10	-8.731149e-11	0.99999034	0	0	0.03	730000
0	1.200533e-10	-8.731149e-11	0.99999005	0	0	0.019999998	730000
0	1.5279511e-10	2.1827873e-11	0.99998957	0	0	0.009999999	730000
0	1.5279511e-10	-1.3096724e-10	0.9999892	0	0	0	730000
0	2.1645974e-10	-1.4551915e-11	0.9999886	0	0	-0.009999999	730000
0	2.0099833e-10	5.820766e-11	0.99998814	0	0	-0.019999998	730000
0	1.7462298e-10	-1.1641532e-10	0.9999876	0	0	-0.03	730000
0	1.4460966e-10	-2.910383e-11	0.99998695	0	0	-0.039999995	730000
0	1.4551915e-10	-2.910383e-11	0.9999863	0	0	-0.050000004	730000
0	2.237357e-10	-1.7462298e-10	0.9999855	0	0	-0.06	730000
0	2.0827429e-10	-1.4551915e-10	0.9999848	0	0	-0.07	730000
0	2.3555913e-10	0	0.9999838	0	0	-0.07999999	730000
0	2.237357e-10	-2.4738256e-10	0.99998283	0	0	-0.09	730000
0	2.2919266e-10	-2.6193447e-10	0.9999816	0	0	-0.10000001	730000
