# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	1.1505108e-10	9.8680175e-11	0.999996	0	0	0.37
0	6.184564e-11	6.866685e-11	0.9999962	0	0	0.38
0	9.458745e-11	4.8657967e-11	0.99999636	0	0	0.39
0	9.41327e-11	8.1399776e-11	0.9999965	0	0	0.40000004
0	7.867129e-11	5.3660187e-11	0.9999966	0	0	0.41000003
0	5.5933924e-11	5.5479177e-11	0.9999968	0	0	0.42000002
0	5.1841198e-11	5.0931703e-11	0.99999696	0	0	0.43000004
0	5.9117156e-11	4.7293724e-11	0.999997	0	0	0.44000003
0	5.4114935e-11	6.002665e-11	0.99999714	0	0	0.45000002
0	6.320988e-11	6.548362e-11	0.99999714	0	0	0.46
0	5.820766e-11	7.116796e-11	0.99999726	0	0	0.47
0	6.502887e-11	6.548362e-11	0.9999974	0	0	0.48
0	7.003109e-11	2.3192115e-11	0.9999974	0	0	0.49
0	3.9108272e-11	5.070433e-11	0.99999744	0	0	0.5
0	6.184564e-11	9.094947e-12	0.9999974	0	0	0.49
0	5.684342e-11	6.91216e-11	0.9999974	0	0	0.48
0	6.04814e-11	7.594281e-11	0.99999726	0	0	0.47
0	6.4119376e-11	4.3655746e-11	0.99999714	0	0	0.46
0	5.684342e-11	7.003109e-11	0.99999714	0	0	0.45000002
0	6.366463e-11	6.184564e-11	0.999997	0	0	0.44000003
0	5.684342e-11	7.4578566e-11	0.99999696	0	0	0.43000004
0	5.820766e-11	7.4578566e-11	0.9999968	0	0	0.42000002
0	7.094059e-11	1.09139364e-10	0.99999666	0	0	0.41000003
0	8.185452e-11	8.094503e-11	0.9999965	0	0	0.40000004
0	1.0822987e-10	6.866685e-11	0.99999636	0	0	0.39
0	5.3660187e-11	4.5019988e-11	0.9999962	0	0	0.38
0	9.5496944e-11	5.0476956e-11	0.999996	0	0	0.37
0	7.2759576e-11	4.5474735e-11	0.99999595	0	0	0.36
0	7.912604e-11	3.45608e-11	0.9999958	0	0	0.34999996
0	1.2414603e-10	1.4188117e-10	0.9999955	0	0	0.33999997
0	9.595169e-11	1.0095391e-10	0.99999523	0	0	0.33
0	1.4279067e-10	3.092282e-11	0.999995	0	0	0.31999996
0	8.458301e-11	4.0017767e-11	0.9999948	0	0	0.30999997
0	1.0822987e-10	1.8644641e-10	0.99999446	0	0	0.29999998
0	1.7007551e-10	6.184564e-11	0.9999943	0	0	0.29
0	1.10503606e-10	1.8007995e-10	0.9999938	0	0	0.28
0	1.12322596e-10	1.6552804e-10	0.99999344	0	0	0.27
0	2.055458e-10	1.5825208e-10	0.9999929	0	0	0.26
0	2.59206e-10	1.382432e-10	0.9999924	0	0	0.25
0	2.901288e-10	2.4738256e-10	0.9999917	0	0	0.24
0	3.351488e-10	3.7471182e-10	0.99999094	0	0	0.23
0	3.0104275e-10	1.7462298e-10	0.9999901	0	0	0.22000001
0	4.456524e-10	3.092282e-10	0.9999889	0	0	0.21000001
0	2.6830094e-10	2.4738256e-10	0.9999875	0	0	0.20000002
0	5.466063e-10	3.3833203e-10	0.9999854	0	0	0.19
0	8.6311047e-10	7.421477e-10	0.9999825	0	0	0.18
0	1.8007995e-09	3.1286618e-10	0.99997735	0	0	0.16999999
0	6.3382686e-09	3.1650416e-09	0.99996567	0	0	0.15999998
0	7.661766e-06	2.9614312e-06	0.9999078	0	0	0.14999999
0	1.33572175e-05	5.1622446e-06	0.9998563	0	0	0.14
0	1.784952e-05	6.8979425e-06	0.99980426	0	0	0.13
