# t (s)	mx ()	my ()	mz ()	Ku1 (J/m3)	mx ()	my ()	mz ()	maxTorque (T)
0	1.5188562e-10	-7.8216544e-11	0.99998784	676923.06	1.5188562e-10	-6.366463e-11	0.99998784	5.0542162e-08
0	1.6007107e-10	-6.684786e-11	0.9999871	671025.56	1.6007107e-10	-7.048584e-11	0.99998707	3.8586474e-08
0	1.6279955e-10	-2.419256e-10	0.9999863	665128.2	1.6279955e-10	-2.2737368e-10	0.9999863	4.613485e-08
0	1.891749e-10	-2.3646862e-11	0.9999854	659230.75	1.891749e-10	2.0008883e-11	0.9999854	3.381575e-08
0	1.6007107e-10	-1.1823431e-10	0.99998444	653333.3	1.6007107e-10	-8.913048e-11	0.9999844	3.729521e-08
0	2.0463631e-10	5.2750693e-11	0.99998343	647435.94	2.0463631e-10	-2.0008883e-11	0.9999833	4.3502325e-08
0	3.765308e-10	-7.094059e-11	0.999982	641538.44	3.765308e-10	-1.5825208e-10	0.999982	3.838768e-08
0	3.3105607e-10	-1.3460522e-10	0.9999805	635641	3.3105607e-10	-1.2732926e-10	0.99998045	4.0137056e-08
0	3.8744474e-10	-3.45608e-10	0.9999787	629743.56	3.8744474e-10	-3.45608e-10	0.9999787	3.911964e-08
0	4.984031e-10	-7.2759576e-11	0.99997675	623846.06	4.984031e-10	-7.2759576e-11	0.99997675	3.008139e-08
0	5.7480065e-10	-1.9645086e-10	0.99997425	617948.7	5.7480065e-10	-1.9645086e-10	0.99997425	3.865385e-08
0	7.403287e-10	-2.8012437e-10	0.9999713	612051.3	7.403287e-10	-2.8012437e-10	0.9999713	4.1836643e-08
0	7.8034645e-10	-5.0931703e-10	0.9999674	606153.94	7.8034645e-10	-5.0931703e-10	0.9999674	4.004536e-08
0	1.4260877e-09	-7.348717e-10	0.99996245	600256.44	1.4260877e-09	-7.348717e-10	0.9999624	4.0396294e-08
0	1.8571882e-09	-9.313226e-10	0.9999558	594359	1.8571882e-09	-1.0622898e-09	0.9999558	4.0066727e-08
0	2.6375346e-09	-1.3969839e-09	0.9999462	588461.56	2.6375346e-09	-1.2805685e-09	0.99994624	4.460352e-08
0	4.82396e-09	-3.754394e-09	0.9999317	582564.06	4.82396e-09	-3.6670826e-09	0.9999317	4.6094545e-08
0	1.0611984e-08	-6.7957444e-09	0.99990714	576666.7	1.0611984e-08	-6.7957444e-09	0.99990714	5.2416688e-08
0	4.7255526e-08	-3.6903657e-08	0.9998586	570769.25	4.7255526e-08	-3.684545e-08	0.9998586	7.060688e-08
0	3.7161262e-06	-2.9823277e-06	0.99973285	564871.8	3.7161262e-06	-2.9823277e-06	0.99973285	2.4823927e-07
0	0.0005103204	-0.00040969404	0.9992144	558974.44	0.0005103204	-0.00040969462	0.9992144	5.0428087e-05
0	0.0024774072	-0.0019889046	0.9982764	553076.94	0.0024774072	-0.0019889046	0.9982764	0.0007643765
0	0.48539418	-0.4723189	0.7081567	547179.5	0.48539418	-0.4723189	0.70815676	1.7371247e-05
0	0.5195531	-0.5135781	0.6523908	541282.06	0.5195531	-0.5135781	0.6523908	1.2962404e-05
0	0.5473838	-0.54387575	0.6027566	535384.56	0.5473838	-0.54387575	0.6027566	1.0447371e-05
0	0.56949437	-0.56728345	0.5587161	529487.2	0.56949437	-0.5672834	0.5587161	9.052595e-06
0	0.58710897	-0.5858025	0.5196542	523589.75	0.58710897	-0.5858025	0.5196542	7.139946e-06
0	0.60135615	-0.60059154	0.4849688	517692.28	0.60135615	-0.6005916	0.4849688	5.8581595e-06
0	0.6130061	-0.6125376	0.4540996	511794.94	0.6130061	-0.6125376	0.4540996	5.6752788e-06
0	0.6225989	-0.6223138	0.4265471	505897.47	0.6225989	-0.6223138	0.4265471	4.8231873e-06
0	0.6305679	-0.6303943	0.40187556	500000	0.6305679	-0.63039434	0.40187556	4.2744596e-06
